Ticker,Industry,Date,Shares,OfferPrice,FirstDayClose,CurrentPrice,Return,DaysSincePublic
POM,Health Care,8/10/2025,5.0,400,403,403,0.75,349
TTRX,Health Care,8/10/2025,17.9,1000,700,700,-30.0,349
CCHH,Consumer Services,3/10/2025,1.3,400,444,444,11.0,354
CBK,Financials,2/10/2025,7.2,2400,2400,2400,0.0,355
AGRZ,Other,1/10/2025,1.3,400,312,312,-22.0,356
FRMI,Financials,1/10/2025,32.5,2100,3253,801,-61.857142857142854,356
NP,Financials,1/10/2025,18.4,2000,2480,2030,1.5,356
KNRX,Technology,29/9/2025,3.0,400,320,320,-20.0,358
AEXA,Blank Check,26/9/2025,30.0,1000,0,0,-100.0,361
MGN,Other,26/9/2025,1.3,400,0,0,-100.0,361
PTRN,Consumer Goods,19/9/2025,21.4,1400,1563,1080,-22.857142857142858,368
PLTS,Technology,19/9/2025,2.0,400,0,0,-100.0,368
NTSK,Technology,18/9/2025,47.8,1900,2249,1129,-40.578947368421055,369
STUB,Consumer Services,17/9/2025,34.0,2350,2200,835,-64.46808510638297,370
WBI,Oil & Gas,17/9/2025,31.7,2000,2283,2523,26.150000000000002,370
CHOW,Technology,16/9/2025,2.6,400,1261,1261,215.25,371
BRCB,Consumer Services,12/9/2025,14.7,2000,2753,1663,-16.85,375
GEMI,Financials,12/9/2025,15.2,2800,3200,894,-68.07142857142857,375
FOFO,Financials,12/9/2025,1.4,400,1235,1235,208.75,375
LGN,Other,12/9/2025,26.0,2800,3050,5041,80.03571428571429,375
VIA,Technology,12/9/2025,10.7,4600,4951,1904,-58.608695652173914,375
LBRX,Health Care,11/9/2025,19.0,1500,1730,2378,58.53333333333334,376
KLAR,Financials,10/9/2025,34.3,4000,4582,1375,-65.625,377
FCHL,Consumer Services,4/9/2025,3.8,400,425,425,6.25,383
PMI,Health Care,29/8/2025,4.3,400,459,168,-57.99999999999999,389
TGHL,Technology,28/8/2025,3.7,400,338,40,-90.0,390
THH,Consumer Services,28/8/2025,1.5,400,602,2947,636.75,390
CURX,Health Care,26/8/2025,3.8,400,402,37,-90.75,392
CEPF,Blank Check,21/8/2025,40.0,1000,1012,1012,1.2,397
ETS,Other,21/8/2025,3.8,400,350,53,-86.75,397
YMT,Other,19/8/2025,5.0,410,280,164,-60.0,399
NUTR,Consumer Services,15/8/2025,3.8,400,391,900,125.0,403
PPCB,Health Care,15/8/2025,1.0,400,0,46,-88.5,403
BUUU,Other,14/8/2025,1.5,400,400,959,139.75,404
MIAX,Financials,14/8/2025,15.0,2300,3074,4223,83.60869565217392,404
RYOJ,Health Care,14/8/2025,1.3,400,290,290,-27.500000000000004,404
BLSH,Financials,13/8/2025,30.0,3700,6800,2745,-25.810810810810807,405
NSRX,Health Care,13/8/2025,1.3,800,825,710,-11.25,405
MAGH,Other,12/8/2025,2.2,400,406,406,1.5,406
AVBH,Financials,8/8/2025,2.6,2300,2325,2325,1.0869565217391304,410
DKI,Consumer Services,8/8/2025,1.5,400,548,548,37.0,410
EFTY,Other,8/8/2025,1.4,400,488,488,22.0,410
HTFL,Health Care,8/8/2025,16.7,1900,2875,2875,51.31578947368421,410
FLY,Industrials,7/8/2025,19.3,4500,6035,5017,11.488888888888889,411
WYFI,Technology,7/8/2025,9.4,1700,1622,1530,-10.0,411
CTW,Technology,6/8/2025,2.4,500,444,275,-45.0,412
HCMAU,Blank Check,1/8/2025,22.0,1000,1009,1010,1.0,417
FIG,Technology,31/7/2025,36.9,3300,11550,3733,13.121212121212123,418
SI,Health Care,31/7/2025,5.0,1500,1505,1439,-4.066666666666666,418
AMBQ,Technology,30/7/2025,4.0,2400,3870,3334,38.916666666666664,419
YMAT,Consumer Goods,30/7/2025,1.3,400,408,408,2.0,419
ARX,Financials,24/7/2025,34.5,2100,2651,1580,-24.761904761904763,425
LHAI,Financials,24/7/2025,1.5,400,563,1031,157.75,425
MH,Other,24/7/2025,24.4,1700,1701,1587,-6.647058823529411,425
CARL,Health Care,23/7/2025,6.7,1500,1450,1269,-15.4,426
CRE,Other,23/7/2025,1.5,400,440,435,8.75,426
TDIC,Consumer Services,23/7/2025,2.0,400,438,375,-6.25,426
NIQ,Technology,23/7/2025,50.0,2100,1901,1756,-16.380952380952383,426
