Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating
Lime (Neutron Holdings),LIME,Technology,7/1/2026,7,$25.00 ,$26.00 ,$42.03 ,68.12%,S/O
Sinda Ltd.,SIND,Basic Materials,6/26/2026,17.8,$12.00 ,$12.00 ,$15.73 ,31.08%,S/O
Doncasters Group – DPC Holdings Limited,DPC,Industrials,6/25/2026,27.9,$33.00 ,$46.88 ,$45.77 ,38.70%,S/O
DSC Holdings Ltd.,DSC,Technology,6/25/2026,3,$17.00 ,$9.06 ,$7.93 ,-53.35%,S/O
Deep Fission,FISN,Utilities,6/18/2026,2.5,$16.00 ,$14.56 ,$7.77 ,-51.44%,S/O
First Carolina Financial Services,FCBM,Financials,6/18/2026,5.5,$12.50 ,$12.60 ,$12.50 ,0.00%,S/O
Kardigan,KARD,Health Care,6/18/2026,25,$16.00 ,$22.00 ,$20.26 ,26.63%,S/O
Cantor Equity Partners VII (Stock-Only),CAES,Blank Check,6/17/2026,25,$10.00 ,$10.11 ,$10.07 ,0.70%,S/O
Space Exploration Technologies (SpaceX),SPCX,Technology,6/12/2026,555.6,$135.00 ,$160.95 ,$134.00 ,0.74%,S/O
Forbright,FRBT,Financials,6/11/2026,7.9,$18.00 ,$18.10 ,$19.02 ,5.67%,S/O
"ERock, Inc.",EROC,Oil & Gas,6/10/2026,27.9,$21.50 ,$18.75 ,$13.01 ,-39.49%,S/O
Parabilis Medicines,PBLS,Health Care,6/10/2026,33.5,$20.00 ,$31.60 ,$39.58 ,97.90%,S/O
WhiteHawk Minerals (WhiteHawk Income),WHK,Oil & Gas,6/9/2026,7.7,$26.00 ,$26.00 ,$27.23 ,4.73%,S/O
INNIO Holding GmBH,INIO,Industrials,6/4/2026,90,$27.00 ,$33.30 ,$23.00 ,-23.00%,S/O
Liftoff Mobile (April 2026),LFTO,Technology,6/4/2026,19,$23.00 ,$28.45 ,$18.36 ,-20.17%,S/O
Quantinuum,QNT,Technology,6/4/2026,28,$60.00 ,$60.38 ,$54.90 ,-8.50%,S/O
Sunshine Silver Mining & Refining,SSMR,Basic Materials,6/4/2026,20,$13.50 ,$17.18 ,$17.45 ,29.26%,S/O
Applied Aerospace & Defense,AADX,Industrials,6/3/2026,32.5,$20.00 ,$19.01 ,$15.50 ,-22.50%,S/O
Disciplined Growth Acquisition,DGACU,Blank Check,5/27/2026,15,$10.00 ,$9.98 ,$9.96 ,-0.40%,S/O
Powerlaw (Direct Listing),PWRL,Financials,5/27/2026,43.2,$35.00 ,$27.68 ,$27.68 ,-20.91%,S/O
Conexeu Sciences (Direct Listing),CNXU,Health Care,5/21/2026,9.5,$13.50 ,$13.07 ,$13.07 ,-3.19%,S/O
Lincoln International,LCLN,Financials,5/20/2026,21.1,$20.00 ,$22.52 ,$23.32 ,16.60%,S/O
Research Alliance III (Stock-Only SPAC),RACC,Blank Check,5/20/2026,7.5,$10.00 ,$10.30 ,$22.90 ,129.00%,S/O
Amanat Acquisition (Stock-Only),AMAN,Blank Check,5/19/2026,7.5,$10.00 ,$10.01 ,$10.68 ,6.80%,S/O
VIDA Global (Brief),VIDA,Technology,5/15/2026,3.8,$4.00 ,$4.00 ,$2.29 ,-42.75%,S/O
Blackstone Digital Infrastructure Trust,BXDC,Financials,5/14/2026,87.5,$20.00 ,$19.81 ,$19.93 ,-0.35%,S/O
Cerebras Systems Inc. (2026),CBRS,Technology,5/14/2026,30,$185.00 ,$311.07 ,$209.85 ,13.43%,S/O
"EagleRock Land, LLC",EROK,Oil & Gas,5/14/2026,17.3,$18.50 ,$21.84 ,$26.16 ,41.41%,S/O
"Micware Co., Ltd.",MWC,Technology,5/14/2026,2.9,$8.00 ,$8.20 ,$1.57 ,-80.38%,S/O
Fervo Energy Co.,FRVO,Other,5/13/2026,70,$27.00 ,$36.54 ,$41.06 ,52.07%,S/O
GMR Solutions,GMRS,Health Care,5/13/2026,31.9,$15.00 ,$13.85 ,$14.14 ,-5.73%,S/O
Mobia Medical,MOBI,Health Care,5/8/2026,10,$15.00 ,$11.75 ,$10.95 ,-27.00%,S/O
Odyssey Therapeutics,ODTX,Health Care,5/8/2026,15.5,$18.00 ,$16.42 ,$24.67 ,37.06%,S/O
"HawkEye 360, Inc.",HAWK,Technology,5/7/2026,16,$26.00 ,$34.00 ,$21.61 ,-16.89%,S/O
"Suja Life, Inc.",SUJA,Consumer Goods,5/7/2026,8.9,$21.00 ,$17.85 ,$7.50 ,-64.29%,S/O
Rare Earths Americas,REA,Other,5/6/2026,3.3,$19.00 ,$19.00 ,$13.45 ,29.21%,S/O
"Hemab Therapeutics Holdings, Inc.",COAG,Health Care,5/1/2026,16.8,$18.00 ,$34.00 ,$48.20 ,167.78%,S/O
Seaport Therapeutics,SPTX,Health Care,5/1/2026,14.2,$18.00 ,$19.84 ,$24.04 ,33.56%,S/O
Avalyn Pharma,AVLN,Health Care,4/30/2026,16.7,$18.00 ,$29.49 ,$37.13 ,106.28%,S/O
Silver Bow Mining Corp.,SBMT,Basic Materials,4/30/2026,5.2,$11.50 ,$10.75 ,$7.95 ,-30.87%,S/O
Pershing Square USA/Pershing Square Inc. (Closed-End Fund),PSUS/PS,Financials,4/29/2026,100,$50.00 ,$42.71 ,$39.52 ,-20.96%,S/O
X-Energy,XE,Other,4/24/2026,44.3,$23.00 ,$29.20 ,$18.29 ,-20.48%,S/O
The Elmet Group Co.,ELMT,Basic Materials,4/23/2026,8.6,$14.00 ,$17.91 ,$16.67 ,19.07%,S/O
"Liberty Defense Holdings, Ltd. (Uplisting)",DETX,Industrials,4/22/2026,3.7,$4.50 ,$4.56 ,$3.39 ,-24.67%,S/O
National Healthcare Properties,NHP,Financials,4/22/2026,38.5,$12.00 ,$12.00 ,$17.08 ,42.33%,S/O
Yesway (2026 Filing),YSWY,Consumer Services,4/22/2026,14,$20.00 ,$21.23 ,$24.62 ,23.10%,S/O
Aevex Corp.,AVEX,Other,4/17/2026,16,$20.00 ,$26.93 ,$18.08 ,-9.60%,S/O
Alamar Biosciences,ALMR,Health Care,4/17/2026,11.3,$17.00 ,$22.00 ,$34.64 ,103.77%,S/O
Jatt II Acquisition Corp. (Stock-Only SPAC),JATT,Blank Check,4/17/2026,6,$10.00 ,$10.50 ,$13.78 ,37.80%,S/O
Kailera Therapeutics,KLRA,Health Care,4/17/2026,39.1,$16.00 ,$26.00 ,$17.46 ,9.13%,S/O
"Arxis, Inc.",ARXS,Other,4/16/2026,40.5,$28.00 ,$38.75 ,$53.70 ,91.79%,S/O
Madison Air Solutions,MAIR,Consumer Services,4/16/2026,82.7,$27.00 ,$31.75 ,$26.25 ,-2.78%,S/O
Metals Royalty Co. (The)(NASDAQ Direct Listing),TMCR,Basic Materials,4/8/2026,0.6,$15.00 ,$14.00 ,$6.01 ,-59.93%,S/O
HMH Holding Inc.,HMH,Oil & Gas,4/1/2026,10.5,$20.00 ,$19.28 ,$20.23 ,1.15%,S/O
Guardian Metal Resources PLC (Uplisting),GMTL,Basic Materials,3/20/2026,4.4,$13.50 ,$13.50 ,$12.11 ,-10.30%,S/O
Janus Living,JAN,Financials,3/20/2026,42,$20.00 ,$23.60 ,$30.59 ,52.95%,S/O
"Swarmer, Inc.",SWMR,Technology,3/17/2026,3,$5.00 ,$31.00 ,$45.91 ,818.20%,S/O
MDA Space Ltd. (Uplisting),MDA,Other,3/12/2026,9.8,$30.50 ,$30.80 ,$31.25 ,2.46%,S/O
PayPay Corp.,PAYP,Other,3/12/2026,55,$16.00 ,$18.16 ,$14.29 ,-10.69%,S/O
FreeCast (Direct Listing),CAST,Technology,3/10/2026,19.8,$33.00 ,$9.13 ,$1.87 ,-94.33%,S/O
"MiniMed Group, Inc.",MMED,Health Care,3/6/2026,28,$20.00 ,$18.49 ,$20.18 ,0.90%,S/O
Generate Biomedicines,GENB,Health Care,2/27/2026,25,$16.00 ,$12.65 ,$15.99 ,0.06%,S/O
Birchtech (Uplisting),BCHT,Utilities,2/26/2026,6.3,$2.40 ,$2.40 ,$1.40 ,-41.67%,S/O
Fortress Value Acquisition Corp. V (Stock-Only),FVAV,Blank Check,2/26/2026,25,$10.00 ,$10.02 ,$10.21 ,2.10%,S/O
Rank One Computing Corp.,ROC,Technology,2/20/2026,4,$6.00 ,$6.16 ,$4.20 ,-16.67%,S/O
SharonAI Holdings (Re-Listing),SHAZ,Technology,2/19/2026,4.2,$30.00 ,$31.70 ,$60.85 ,102.83%,S/O
ARKO Petroleum Corp.,APC,Oil & Gas,2/12/2026,11.1,$18.00 ,$17.55 ,$4.59 ,-74.50%,S/O
Braiin Ltd. (Direct Listing),BRAI,Technology,2/12/2026,68.7,$35.21 ,$44.53 ,$5.62 ,-84.04%,S/O
AGI,AGBK,Financials,2/11/2026,20,$12.00 ,$10.75 ,$5.98 ,-50.17%,S/O
"SOLV Energy, Inc.",MWH,Other,2/11/2026,20.5,$25.00 ,$30.67 ,$28.92 ,15.68%,S/O
Jaguar Uranium Corp.,JAGU,Basic Materials,2/10/2026,6.3,$4.00 ,$3.07 ,$1.60 ,-60.00%,S/O
AgomAb Therapeutics,AGMB,Health Care,2/6/2026,12.5,$16.00 ,$14.65 ,$13.43 ,-16.06%,S/O
"Once Upon a Farm, PBC",OFRM,Consumer Goods,2/6/2026,11,$18.00 ,$21.05 ,$16.78 ,-6.78%,S/O
"SpyGlass Pharma, Inc.",SGP,Health Care,2/6/2026,9.4,$16.00 ,$26.40 ,$26.23 ,63.94%,S/O
"Bob’s Discount Furniture, Inc.",BOBS,Consumer Goods,2/5/2026,19.5,$17.00 ,$17.02 ,$18.05 ,6.18%,S/O
Cantor Equity Partners VI (Stock-Only SPAC),CEPS,Blank Check,2/5/2026,10,$10.00 ,$10.15 ,$10.40 ,4.00%,S/O
Eikon Therapeutics,EIKN,Health Care,2/5/2026,21.2,$18.00 ,$15.00 ,$10.75 ,-40.28%,S/O
"Forgent Power Solutions, Inc.",FPS,Industrials,2/5/2026,56,$27.00 ,$29.00 ,$33.36 ,23.56%,S/O
"Veradermics, Inc.",MANE,Health Care,2/4/2026,15.1,$17.00 ,$37.75 ,$105.32 ,519.53%,S/O
Polaryx Therapeutics (Direct Listing),PLYX,Health Care,2/2/2026,0,$45.00 ,$35.00 ,$2.14 ,-95.24%,S/O
Ethos Technologies Inc.,LIFE,Financials,1/29/2026,10.5,$19.00 ,$16.85 ,$33.52 ,76.42%,S/O
PicS N.V. (Picpay Holdings Netherlands B.V.),PICS,Technology,1/29/2026,22.9,$19.00 ,$19.00 ,$10.05 ,-47.11%,S/O
York Space Systems (Yellowstone),YSS,Other,1/29/2026,18.5,$34.00 ,$33.61 ,$9.20 ,-72.94%,S/O
Public Policy Holding Co. (NASDAQ Uplisting),PPHC,Other,1/28/2026,4.2,$12.25 ,$11.28 ,$10.11 ,17.47%,S/O
"EquipmentShare.com, Inc.",EQPT,Consumer Goods,1/23/2026,30.5,$24.50 ,$32.56 ,$18.27 ,25.43%,S/O
Helix Acquisition Corp. III (Stock-Only SPAC),HLXC,Blank Check,1/23/2026,15,$10.00 ,$10.25 ,$10.85 ,8.50%,S/O
BitGo Holdings,BTGO,Financials,1/22/2026,11.8,$18.00 ,$18.49 ,$6.60 ,-63.33%,S/O
Green Circle Decarbonize Technology Limited,GCDT,Oil & Gas,1/13/2026,2.5,$4.00 ,$4.21 ,$0.39 ,-90.25%,S/O
Aktis Oncology,AKTS,Health Care,1/9/2026,17.7,$18.00 ,$22.40 ,$24.00 ,33.33%,S/O
Atlas Critical Minerals (Uplisting),ATCX,Basic Materials,1/9/2026,1.2,$8.00 ,$8.80 ,$3.50 ,-56.25%,S/O
Buda Juice,BUDA,Consumer Goods,1/8/2026,2.7,$7.50 ,$8.11 ,$9.03 ,20.40%,S/O
